BNF_PARAGRAPH_CODE,REGION_CODE,UNIT_OF_MEASURE,PREP_CLASS,SNOMED_CODE,PHARMACY_ADVANCED_SERVICE,BNF_CHAPTER,YEAR_MONTH,SUPPLIER_NAME,TOTAL_QUANTITY,DISPENSER_ACCOUNT_TYPE,GENERIC_BNF_EQUIVALENT_NAME,BNF_PRESENTATION_CODE,BNF_SECTION,GENERIC_BNF_EQUIVALENT_CODE,BNF_SECTION_CODE,ICB_NAME,PRESCRIBED_PREP_CLASS,BNF_PARAGRAPH,ICB_CODE,BNF_CHAPTER_CODE,REGION_NAME,ITEMS,BNF_CHEMICAL_SUBSTANCE,BNF_CHEMICAL_SUBSTANCE_CODE,NIC,BNF_PRESENTATION_NAME
50101,Y58,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,400.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS DORSET INTEGRATED CARE BOARD,1,Penicillins,QVV,5,SOUTH WEST,3,Phenoxymethylpenicillin (Penicillin V),0501011P0,29.2,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y60,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,900.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,1,Penicillins,QPM,5,MIDLANDS,9,Phenoxymethylpenicillin (Penicillin V),0501011P0,65.7,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y56,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,800.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,1,Penicillins,QRV,5,LONDON,7,Phenoxymethylpenicillin (Penicillin V),0501011P0,58.4,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y59,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,1000.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS SUSSEX INTEGRATED CARE BOARD,1,Penicillins,QNX,5,SOUTH EAST,8,Phenoxymethylpenicillin (Penicillin V),0501011P0,73.0,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y61,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,2100.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,1,Penicillins,QM7,5,EAST OF ENGLAND,20,Phenoxymethylpenicillin (Penicillin V),0501011P0,153.3,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y56,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,1000.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,1,Penicillins,QKK,5,LONDON,9,Phenoxymethylpenicillin (Penicillin V),0501011P0,73.0,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y60,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,900.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,1,Penicillins,QGH,5,MIDLANDS,9,Phenoxymethylpenicillin (Penicillin V),0501011P0,65.7,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y58,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,1100.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1,Penicillins,QR1,5,SOUTH WEST,7,Phenoxymethylpenicillin (Penicillin V),0501011P0,80.3,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y58,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,300.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1,Penicillins,QT6,5,SOUTH WEST,2,Phenoxymethylpenicillin (Penicillin V),0501011P0,21.9,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y63,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,7600.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,1,Penicillins,QHM,5,NORTH EAST AND YORKSHIRE,53,Phenoxymethylpenicillin (Penicillin V),0501011P0,554.8,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y58,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,100.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS SOMERSET INTEGRATED CARE BOARD,1,Penicillins,QSL,5,SOUTH WEST,1,Phenoxymethylpenicillin (Penicillin V),0501011P0,7.3,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y59,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,1600.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,1,Penicillins,QXU,5,SOUTH EAST,11,Phenoxymethylpenicillin (Penicillin V),0501011P0,116.8,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y63,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,1500.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,1,Penicillins,QF7,5,NORTH EAST AND YORKSHIRE,11,Phenoxymethylpenicillin (Penicillin V),0501011P0,109.5,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y62,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,4900.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,1,Penicillins,QE1,5,NORTH WEST,45,Phenoxymethylpenicillin (Penicillin V),0501011P0,357.7,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y58,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,3200.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",1,Penicillins,QUY,5,SOUTH WEST,27,Phenoxymethylpenicillin (Penicillin V),0501011P0,233.6,Phenoxymethylpenicillin 125mg/5ml oral solution
50101,Y61,ml,1,41953711000001109,Pharmacy First Clinical Pathways,Infections,202402,,2200.0,English Pharmacy,Phenoxymethylpenicillin 125mg/5ml oral solution,0501011P0AAADAD,Antibacterial drugs,0501011P0AAADAD,501,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,1,Penicillins,QH8,5,EAST OF ENGLAND,17,Phenoxymethylpenicillin (Penicillin V),0501011P0,160.6,Phenoxymethylpenicillin 125mg/5ml oral solution
